OMP_NUM_THREADS,Execution_Time
1,0.243930
2,0.148433
3,0.115693
4,0.099825
5,0.089237
6,0.080661
7,0.075101
8,0.070018
9,0.064776
10,0.062847
11,0.059813
12,0.056164
13,0.055163
14,0.055807
15,0.055228
16,0.057057
17,0.056128
18,0.056619
19,0.055680
20,0.054394
21,0.054564
22,0.055229
23,0.054703
24,0.057913
